# ours, veh=rec392, demand_model=open-loop
sim_seconds,lane,pos,speed,binder,jy_arm,next_mouth_gap
395.0,e_d_4_2_d_5_2_1,217.697,0.002,1,2,Infinity
395.5,e_d_4_2_d_5_2_1,217.698,0.001,1,2,Infinity
396.0,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
396.5,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
397.0,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
397.5,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
398.0,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
398.5,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
399.0,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
399.5,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
400.0,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
400.5,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
401.0,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
401.5,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
402.0,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
402.5,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
403.0,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
403.5,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
404.0,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
404.5,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
405.0,e_d_4_2_d_5_2_1,217.698,0.000,1,2,Infinity
405.5,e_d_4_2_d_5_2_1,218.023,0.650,1,2,0.95
406.0,e_d_4_2_d_5_2_1,218.998,1.950,5,2,2.90
406.5,e_d_4_2_d_5_2_1,220.623,3.250,5,2,Infinity
407.0,e_d_4_2_d_5_2_1,222.898,4.550,5,2,8.75
407.5,e_d_4_2_d_5_2_1,225.661,5.525,2,128,12.65
408.0,:d_5_2_13_0,2.873,6.825,2,128,216.35
408.5,:d_5_2_13_0,6.936,8.125,1,128,219.38
409.0,:d_5_2_13_0,11.648,9.425,1,128,223.05
409.5,:d_5_2_13_0,17.010,10.725,2,131,Infinity
410.0,:d_5_2_13_0,23.023,12.025,2,131,Infinity
410.5,e_d_5_2_d_6_2_1,5.807,13.169,2,128,10.20
411.0,e_d_5_2_d_6_2_1,12.752,13.890,3,2,14.87
411.5,e_d_5_2_d_6_2_1,19.697,13.890,3,2,Infinity
412.0,e_d_5_2_d_6_2_2,26.333,13.272,1,2,Infinity
412.5,e_d_5_2_d_6_2_2,33.013,13.360,1,2,Infinity
413.0,e_d_5_2_d_6_2_2,39.731,13.436,1,2,Infinity
413.5,e_d_5_2_d_6_2_2,46.481,13.501,1,2,Infinity
414.0,e_d_5_2_d_6_2_2,53.256,13.549,1,2,Infinity
414.5,e_d_5_2_d_6_2_2,60.052,13.592,1,2,Infinity
415.0,e_d_5_2_d_6_2_2,66.866,13.629,1,2,Infinity
415.5,e_d_5_2_d_6_2_2,73.697,13.662,1,2,Infinity
416.0,e_d_5_2_d_6_2_2,80.542,13.690,1,2,Infinity
416.5,e_d_5_2_d_6_2_2,87.400,13.715,1,2,Infinity
417.0,e_d_5_2_d_6_2_2,94.268,13.737,1,2,Infinity
417.5,e_d_5_2_d_6_2_2,101.146,13.756,1,2,Infinity
418.0,e_d_5_2_d_6_2_2,108.033,13.773,1,2,Infinity
418.5,e_d_5_2_d_6_2_2,114.927,13.788,1,2,Infinity
419.0,e_d_5_2_d_6_2_2,121.827,13.800,1,2,Infinity
419.5,e_d_5_2_d_6_2_2,128.733,13.812,1,2,Infinity
420.0,e_d_5_2_d_6_2_2,135.643,13.821,1,2,Infinity
420.5,e_d_5_2_d_6_2_2,142.558,13.830,1,2,Infinity
421.0,e_d_5_2_d_6_2_2,149.477,13.837,1,2,Infinity
421.5,e_d_5_2_d_6_2_2,156.399,13.844,1,2,Infinity
422.0,e_d_5_2_d_6_2_2,163.324,13.850,1,2,Infinity
422.5,e_d_5_2_d_6_2_2,170.251,13.855,1,2,Infinity
423.0,e_d_5_2_d_6_2_2,177.181,13.859,1,2,Infinity
423.5,e_d_5_2_d_6_2_2,184.112,13.863,1,2,Infinity
424.0,e_d_5_2_d_6_2_2,191.046,13.866,1,2,Infinity
424.5,e_d_5_2_d_6_2_2,197.980,13.869,1,2,Infinity
425.0,e_d_5_2_d_6_2_2,204.916,13.872,1,2,Infinity
425.5,e_d_5_2_d_6_2_2,211.059,12.286,1,2,4.01
426.0,e_d_5_2_d_6_2_2,216.265,10.411,2,2,8.91
426.5,e_d_5_2_d_6_2_2,221.419,10.308,2,2,13.80
427.0,:d_6_2_8_0,0.114,9.790,4,2,0.97
427.5,:d_6_2_8_0,5.009,9.790,3,0,Infinity
428.0,:d_6_2_8_0,9.904,9.790,3,0,Infinity
428.5,:d_6_2_8_0,14.799,9.790,3,0,Infinity
429.0,:d_6_2_13_0,1.964,9.790,3,3,20.41
429.5,e_d_6_2_d_6_3_2,2.819,9.790,3,3,Infinity
430.0,e_d_6_2_d_6_3_2,8.364,11.090,1,2,Infinity
430.5,e_d_6_2_d_6_3_2,14.559,12.390,1,2,Infinity
